#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-07-14T23:30:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ578819ef7d02	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/138/1003/table3
#-nav=cat:J/AJ/138/1003&tab:{J/AJ/138/1003/table3}&key:source=J/AJ/138/1003/table3&HTTPPRM:&&-ref=VIZ578819ef7d02&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=RAJ2000&-out=DEJ2000&-out=[3.6]&-out=[4.5]&-out=Class&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/138/1003/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/1003/table3
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=[3.6]
#-out=[4.5]
#-out=Class
#

#RESOURCE=yCat_51381003
#Name: J/AJ/138/1003
#Title: IR photometry of massive LMC stars (Bonanos+, 2009)
#Table	J_AJ_138_1003_table3:
#Name: J/AJ/138/1003/table3
#Title: 0.3-24 micron photometry of 1268 massive stars in the LMC
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6 micron band magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5 micron band magnitude	[ucd=phot.mag;em.IR.4-8um]
#Column	Class	(a32)	MK Spectral type and object type	[ucd=src.spType]
RAJ2000	DEJ2000	[3.6]	[4.5]	Class
080.565628	-71.360916	14.865	14.852	O6 III SB:
080.586204	-67.946556	14.530	14.499	O9.5 V
080.590332	-67.931305	14.286	14.304	B1.5 III
080.590622	-67.902336	14.357	14.330	O5 V((f*))
080.593872	-71.599472	11.872	11.530	WN6(h) SB
080.597000	-67.899246	10.140	10.099	F Ie
080.630043	-69.568085	 8.908	 8.527	M2 I
080.694710	-68.065422	12.953	12.912	O9 II
080.713295	-71.717865	11.513	11.456	B3 Iab
080.749084	-68.029617	 9.641	 9.353	Ofpe/WN9?
080.752747	-67.189476	11.502	11.472	B1 Ia
080.761833	-69.343643	 8.241	 8.440	M1 I
080.791916	-71.347473	12.751	12.457	WC4 +OB
080.810959	-67.434502	12.097	12.103	B8-9 I
080.825043	-65.949165	13.861	13.480	WN3(h)
080.842331	-67.143417	13.998	13.945	B2 II
080.844627	-70.422607	14.518	14.469	B0 n
080.876541	-66.703163	12.523	12.463	B1.5 I
080.892044	-69.318611	 8.712	 8.832	K7 I
080.952621	-67.898026	14.548	14.603	O7 V
080.995163	-69.876587	13.707	13.636	B0.5 V
081.088707	-69.712441	13.256	13.206	B0 I
081.100792	-68.526558	13.498	12.985	WN4b/WCE+OB
081.126961	-65.820473	12.770	12.567	B extr
081.226200	-66.236400	13.998	13.530	WN3o
081.258079	-68.532784	14.692	14.821	O8 V((f))
081.273292	-66.810478	14.137	14.148	B2 III
081.276375	-71.464416	14.695	14.737	B extr
081.326042	-69.053200	13.248	13.182	O9.7 I
081.412209	-67.316696	12.175	12.181	B1 Ia
081.437294	-69.080246	 7.592	 7.640	M3 I
081.469086	-66.823723	14.327	14.282	B0 n
081.484375	-67.508003	13.188	13.204	O8 II((f))
081.497955	-69.187416	13.470	13.159	B extr
081.503792	-67.052811	14.172	14.145	B2 III SB:
081.516502	-67.499191	 9.228	 8.594	WC4 [+O8I:] SB1
081.525795	-67.182442	12.689	12.599	O4 f + O6V
081.549210	-71.561310	11.321	11.272	B5 Ia
081.562500	-68.840309	14.001	13.938	O7.5 V
081.581955	-68.840004	15.837	15.857	O7-8 V:
081.586624	-66.515747	13.873	13.902	B0 Ib
081.589996	-69.095833	15.477	15.563	B2 V + B2 V
081.601914	-68.784721	12.411	12.300	B0.5 Ib/II
081.610252	-67.622337	13.104	13.104	O4-5 III
081.614670	-69.182083	 7.404	 7.468	M3 I
081.615295	-68.799690	15.171	15.054	O8 V
081.616959	-68.828277	15.989	16.005	O9.5 III
081.617996	-69.132614	 8.256	 8.433	M1 I
081.620415	-68.852112	15.331	15.295	B0.5 V
081.626083	-68.840973	12.685	12.422	WC4 +O6V-III(+O) SB2
081.630585	-68.808281	14.669	14.440	O9.5:
081.645500	-68.861137	 6.857	 6.884	M1 I
081.654335	-68.781143	15.185	15.311	B1 V:
081.663292	-68.826584	15.979	16.022	B0-2 V
081.665794	-68.838554	14.996	14.928	B1 V:
081.668251	-68.854057	13.518	13.489	O9.5 III
081.671585	-68.819023	16.174	      	B0.5 V:
081.674210	-68.803169	14.503	14.515	B0 III
081.677414	-69.115944	13.280	12.827	WN4b
081.677414	-68.847221	14.872	14.873	O7 III/V
081.677956	-68.819527	13.666	13.669	B0-1 V:
081.678291	-68.953720	 8.139	 8.136	M3 I
081.688835	-68.831329	 9.630	 9.558	WN5b(h)(+B3I)
081.698707	-69.103332	13.498	13.510	O9.5 I
081.700332	-67.491608	12.983	12.948	O6 Ia(n)fp var
081.702461	-68.803505	15.718	15.733	B1 V:
081.709541	-69.169945	13.353	13.339	B0 n
081.712044	-68.820038	14.001	13.991	O6.5 V
081.723000	-68.773865	15.646	15.457	B0.5 V
081.723709	-68.819260	13.875	13.893	O7 III
081.727585	-68.814034	16.685	16.178	B0 V:
081.734459	-68.808006	15.979	16.078	B0 V:
081.735336	-67.659721	12.359	12.331	B0.5 Ia
081.758499	-68.772476	15.402	15.394	B2 V
081.785377	-70.501946	13.817	13.832	B5 II
081.791420	-69.132362	13.296	13.278	O8.5 II(f)
081.793251	-69.271561	 8.579	 8.702	M0 I
081.809707	-69.186310	 7.780	 7.852	M3 I
081.819832	-65.809753	14.443	14.398	O7.5 V
081.824333	-66.368225	 8.568	 7.795	B1[e] Iab
081.835541	-67.214386	11.325	11.280	B3 Ia
081.847542	-69.014221	11.769	11.719	B2.5 Ia
081.861794	-68.901199	12.936	12.903	B1 Ib
081.864128	-67.198471	13.296	13.267	O9 III-II + O8 V:
081.867332	-69.010002	      	      	M0 I
081.874336	-67.236916	 7.523	 7.275	M1 Ia
081.888794	-67.291725	13.679	13.691	O7 V
081.889877	-70.613304	13.414	13.442	O2 III(f*)+OB
081.906998	-70.601501	13.600	13.232	WN4o +OB SB
081.915497	-69.150307	 7.698	 7.912	K7 I
081.919044	-67.302864	13.786	13.720	O7 III (f)
081.921501	-67.456665	12.842	12.835	O8 III:
081.927872	-69.166779	12.648	12.321	WN8ha
081.939377	-66.920914	13.884	13.805	O6 II(f)
081.948418	-69.222305	 7.306	 7.275	M3 I
081.969414	-68.985687	      	      	WN10h LBV
081.973373	-69.032921	10.088	 9.992	B7 Ia+
081.983002	-67.256889	13.621	13.586	B2 III
081.983666	-67.346199	10.828	10.785	B5 Ia
082.000504	-69.128418	 8.611	 8.629	M2-3 I
082.025459	-69.120422	 7.555	 7.535	M1-2 I
082.034081	-69.219666	 7.741	 7.682	M3-5 I
082.066711	-69.200302	 8.280	 8.541	M1 I
082.067375	-68.862663	11.836	11.764	B1 Ia
082.077873	-69.126305	 8.125	 8.291	M1 I
082.083458	-67.675217	11.395	11.357	B5 Ia
082.085915	-70.989555	12.635	12.445	O9 Ve (Fe II)
082.116707	-69.215889	      	      	K0 I
082.120750	-68.118835	 6.859	 6.860	M0 Ia
082.126747	-69.012413	 8.296	 8.429	M0 I
082.131790	-69.092003	 7.775	 7.938	M2-3 I
082.150414	-68.437637	 7.571	 7.725	M2 Ia
082.152420	-68.710693	 7.685	 7.763	M2 Iab
082.154083	-68.834167	13.808	13.732	B1 III
082.162499	-69.153114	12.116	12.107	O9 Ia
082.164375	-65.650169	13.001	12.994	O9.7 I:
082.178917	-70.330444	13.362	13.335	B0 Ib
082.180252	-67.307922	 8.337	 8.571	K7 I
082.189957	-68.967308	 7.312	 7.468	M0-1 I
082.190834	-68.825470	14.357	14.337	B1: III:
082.194122	-68.771172	13.972	13.889	B1 III
082.195709	-68.796639	14.196	14.164	ON2 III(f*)
082.204918	-66.993416	11.379	11.342	B5 Ia
082.222168	-68.812309	12.907	12.835	B1 III
082.240669	-68.788887	13.945	13.931	B0.2: III:
082.242165	-68.802506	14.365	14.353	B0.2 III:
082.250420	-68.824051	14.852	14.805	O8.5 V
082.253586	-68.776001	 8.196	 8.299	M1 I
082.254127	-66.641052	11.780	11.811	B1.5 Ia
082.261459	-68.750504	13.717	13.687	B0.5 III
082.263206	-67.340393	12.712	12.668	B0.5: Ia
082.264916	-69.112862	 7.519	 7.451	M3-4.5
082.271584	-68.767807	13.405	13.310	B1: I:
082.284874	-68.754524	      	12.771	B2: III:
082.285377	-69.205162	 8.071	 8.207	M3 I
082.296043	-67.316444	15.796	15.827	B2.5 III
082.297752	-67.256775	13.894	13.830	B1.5 II Binary (SB1)
082.298622	-68.740021	13.264	13.298	B0.5 I
082.300087	-68.749771	13.790	13.717	B1.5 III
082.301544	-68.760025	13.947	13.496	WN3b
082.304542	-71.099640	16.646	16.501	B1 V
082.316498	-67.329277	15.331	15.368	B2 III
082.316795	-67.207581	14.678	14.570	B1 III
082.320579	-67.342728	15.696	15.857	B0.5 V
082.326332	-68.760948	15.080	14.934	O5.5 III(f)
082.334709	-67.317864	15.696	15.769	B3 III
082.337914	-68.792084	 7.790	 7.920	K7 I
082.339539	-69.005638	 7.312	 7.400	M1-2 I
082.340500	-67.336387	12.790	12.771	B2.5 Iab
082.342956	-67.277809	15.970	15.866	O9.5 III
082.348877	-70.233581	13.203	13.222	B0.7 III
082.348915	-71.092697	15.448	15.420	B1 III
082.353539	-68.749527	14.528	14.507	B2 III
082.365417	-68.766724	12.936	12.957	B1 I
082.381836	-68.908005	13.442	13.023	WN4b
082.386207	-67.284721	13.717	13.557	B1.5e
082.388374	-70.993027	13.869	13.749	WN4:b +O8V SB
082.391586	-67.301918	15.251	15.256	B1.5: Binary (SB2)
082.392998	-67.250526	15.796	15.844	B1.5 III
082.393875	-67.198921	13.460	13.319	B0e
082.398918	-68.763359	15.067	15.099	O6 V((f))
082.408501	-70.963806	14.907	14.957	O8.5 V
082.411499	-67.202110	15.879	15.920	B1.5 V
082.426331	-68.954804	 6.665	 6.792	M2 I
082.427544	-67.346527	11.939	11.915	B8 Ia
082.433418	-69.097282	 7.614	 7.586	M2-3
082.436706	-70.916336	14.031	13.904	B0 V
082.442169	-71.156143	13.579	13.584	B0 V
082.446831	-71.150139	13.748	13.527	B1: V
082.449371	-65.945442	14.472	14.404	B0.5 Ve XRB
082.460419	-67.252891	15.639	15.673	B1.5 V Binary (SB1)
082.464752	-71.075722	14.883	14.900	O8 V
082.464874	-66.855553	13.451	13.433	O9 I
082.465752	-71.068527	15.837	15.746	B1.5 V
082.469711	-71.145775	14.423	14.384	O8 III(f)
082.474960	-67.289497	14.394	14.484	B1.5 IIIn
082.478539	-69.070999	 8.248	 8.384	M0-1
082.479332	-67.310249	 7.383	 7.411	M3 I
082.479538	-71.149666	15.055	15.035	B1 V
082.483170	-69.003334	11.887	11.804	B2.5 Ia
082.484665	-67.298752	15.696	15.923	B2.5 III
082.495125	-67.271614	15.578	15.485	B2.5 III
082.503044	-67.365662	13.579	13.332	B2 (Be-Fe)
082.505081	-67.243576	11.568	11.518	A2 Iab
082.509834	-67.045830	 7.640	 7.733	K5 I
082.510246	-68.755112	14.202	13.783	WN3b
082.512459	-68.767784	 8.188	 8.403	M0 Iab
082.517456	-71.132309	12.837	12.740	B1.5 V
082.519295	-68.791359	 8.579	 8.797	K7 I
082.520790	-69.066643	 8.611	 8.768	K7 I
082.521377	-67.312729	13.995	13.989	O9.5 V
082.525795	-67.242470	15.471	15.438	O2-3 III(f) + OB Binary (SB2)
082.529457	-67.262032	11.159	11.129	A1 Ia
082.530289	-67.239799	13.769	13.785	A7 II
082.537041	-68.810196	13.479	13.446	B0 Ia
082.540291	-69.184418	 8.388	 8.596	K7-M0 I
082.542503	-67.311752	15.933	15.920	B1.5 V
082.545959	-67.382530	14.980	14.998	B0.2 Ib Binary (SB1)
082.546753	-71.079582	14.893	14.957	O9 V
082.546875	-70.861717	13.379	13.372	O9 III
082.550629	-67.172134	15.741	15.831	B0.7 V
082.550667	-67.435638	13.020	12.619	WC4
082.554581	-67.351807	15.385	15.360	B2.5 III
082.555039	-67.144554	15.951	16.047	B2 III
082.556419	-67.240913	15.295	15.126	B2 III Binary (SB1)
082.565247	-67.539414	11.048	10.993	B7 Ia
082.575622	-67.216278	15.905	16.058	B2.5 III
082.581169	-71.101974	15.584	15.412	B0 V
082.584877	-67.348724	15.780	15.817	B1.5 V
082.586044	-67.144775	15.674	15.642	B2.5 III Binary (SB1)
082.592125	-70.910087	15.430	15.327	B0.5 V
082.592499	-67.108719	 8.433	 8.611	M1 I
082.594498	-71.105385	14.988	15.067	O8 V
082.595833	-67.148224	15.533	15.553	B2.5 III
082.598251	-67.178246	16.169	16.230	B2 III
082.602753	-71.062393	15.035	15.093	O7 V
082.603958	-67.212997	15.923	16.106	B2e
082.609917	-67.150223	14.120	14.040	B2e
082.613419	-67.224335	15.071	15.099	B1.5e
082.615753	-67.289665	15.796	15.924	B1.5 Vn
082.617126	-67.254639	14.731	14.578	B1.5e
082.617836	-70.989914	14.155	14.112	B0.5 III
082.620956	-67.381332	15.914	15.946	B0.7-B1 V Binary (SB1)
082.622871	-67.279449	15.979	15.826	B2 III
082.624794	-67.264862	14.647	14.451	B1.5e
082.627747	-71.042114	13.548	13.420	B0.5 V
082.632126	-67.014831	12.458	12.406	B0.7 Ia
082.636002	-67.257194	15.175	15.225	B2.5 III Binary (SB1)
082.639793	-67.287613	 8.014	 8.115	K7 I
082.644333	-67.245995	15.604	15.573	B1.5e
082.646706	-71.032478	14.097	13.885	B1 Ve
082.648376	-68.989883	 7.219	 7.310	M4 I
082.648704	-67.201195	 8.703	 8.882	M1 I
082.649666	-67.185692	15.396	15.412	B1.5e
082.652580	-71.071052	14.783	14.826	O9 V
082.652916	-71.028641	15.477	15.475	B0.5 V
082.654831	-67.262306	13.644	13.463	B1: (Be-Fe)
082.655418	-67.176109	14.925	14.980	B2 II
082.656166	-67.281586	13.868	13.874	B1.5 Iab
082.661247	-71.029945	13.345	12.985	WC4 (+OB)
082.661415	-67.253670	15.280	15.335	B1.5 III
082.661545	-67.339973	14.872	14.873	B2 II Binary (SB1)
082.663040	-71.016670	15.189	15.168	B1 III
082.666168	-71.024864	13.058	13.094	O8 II(f)
082.666794	-71.287026	14.725	14.770	O9 V
082.667084	-67.277199	12.149	12.163	B9 Ia
082.667122	-67.316421	13.600	13.533	B9 Ib
082.667290	-71.093643	12.902	12.835	O8.5 I
082.668335	-67.269173	11.996	11.984	B5 Ia binary?
082.669792	-67.195526	15.660	15.851	B2 III Binary (SB1)
082.673248	-69.259361	 7.400	 7.331	M4.5-5
082.675041	-67.361496	14.220	14.286	B1.5 Ib
082.675415	-69.089783	 8.470	 8.633	M0-1 I
082.679001	-67.278755	15.477	15.438	B1.5 III
082.682457	-67.256279	15.604	15.604	B0.2 Ve
082.685165	-71.029030	16.451	16.278	B1 III
082.685295	-67.350418	13.808	13.826	B3 Ib
082.685913	-67.310532	14.215	14.228	O9.5 III
082.688545	-67.133110	 8.210	 8.424	M3 I
082.691330	-67.306778	15.520	15.523	B2 III Binary (SB1)
082.693962	-67.327721	13.909	13.853	B2 II
082.696121	-71.054367	13.052	13.023	B0 Ia
082.697372	-67.289833	      	14.444	B1.5 Ib
082.699127	-71.067306	11.089	11.025	B1 Iab
082.701462	-67.366280	15.639	15.707	B2.5e
082.709122	-67.246551	14.984	14.917	B2 III Binary (SB1)
082.710960	-71.046669	14.992	14.974	O8 V
082.714455	-69.049614	 9.842	 9.718	LBV
082.716293	-66.902527	11.844	11.887	B2 Ia
082.718246	-67.292915	 8.628	 8.774	M1 I
082.722664	-67.286278	15.495	15.533	B2 III
082.724167	-67.263557	14.079	14.068	B1.5 II Binary (SB1)
082.724419	-67.281784	15.870	15.812	B2.5 IIIn
082.726997	-71.086281	13.666	13.655	B0 III
082.732208	-67.313499	15.756	15.680	B2 III
082.738129	-67.253975	15.820	15.700	B2.5 III
082.739914	-71.059395	13.020	12.868	O8 V((f))
082.740211	-71.025421	15.194	15.218	B1 III
082.741707	-67.304115	13.379	13.214	B2 (Be-Fe)
082.741752	-67.234665	15.772	15.784	B2 III
082.746750	-67.258804	15.725	15.786	B1.5 V
082.750458	-67.249771	14.641	14.538	B1.5e
082.750961	-67.267784	15.960	16.089	B2 III Binary
082.751251	-67.318306	15.845	15.862	B2 III
082.753502	-68.899193	12.087	12.120	BN1 Ia
082.755295	-67.335754	15.632	15.604	B1.5 V
082.764580	-69.094444	 8.345	 8.522	K5-7 I
082.765045	-67.268806	15.780	15.879	B0.7-B1 III
082.765625	-67.355583	13.091	13.043	B1.5 Ia
082.768044	-69.317474	 6.905	 6.891	M3 I
082.769333	-67.309753	15.914	15.747	B2e Binary (SB1)
082.778626	-71.179855	14.453	14.603	O8.5 V
082.783379	-67.333420	15.888	16.010	B1.5 III
082.784248	-71.028534	13.414	13.364	B0 Ia
082.788627	-67.256195	15.653	15.604	B2.5 III Binary
082.788956	-67.431969	 7.454	 7.510	M4 I
082.790291	-71.064339	16.224	16.322	B1 III
082.794540	-71.028725	14.538	14.511	O8 III((f))
082.797165	-71.158142	15.862	15.856	B1 V
082.799248	-71.069473	13.558	13.538	O5 V
082.799919	-67.387306	15.039	15.113	B2.5 III
082.803413	-67.252220	11.210	11.198	A3: Iab
082.807961	-71.064224	15.127	15.086	O7.5 V
082.811043	-67.199944	16.190	16.241	B2 III
082.814583	-71.069443	12.352	12.400	O4-5 III(f)
082.814919	-69.066337	 7.953	 8.043	M1-2 I
082.818832	-67.348808	15.788	15.746	B2 III
082.821999	-67.311806	16.161	16.128	B1.5 V Binary (SB1)
082.827331	-69.157837	 8.370	 8.489	K5-7 I
082.828629	-71.077499	12.671	12.439	O7: Ve
082.829628	-67.281868	15.625	15.651	B0.7-B1
082.842247	-67.294197	15.148	15.106	B0.7 V
082.851707	-70.934753	15.545	15.626	B1 V
082.856331	-69.094055	11.540	11.424	WN11h
082.866249	-67.412193	11.772	11.770	B9 Ia
082.867790	-67.518448	13.771	13.754	B1 III
082.880455	-67.192581	15.688	15.726	B1.5 III
082.880539	-67.251640	15.618	15.636	B2 III Binary (SB1)
082.885788	-67.277862	14.755	14.718	B2 II
082.886955	-67.679611	13.362	12.975	WN4b
082.892212	-70.940445	14.988	14.998	B1 V
082.893166	-67.274811	13.636	13.166	WN4b
082.910210	-68.469025	14.303	14.246	O8 V((f))
082.921127	-70.961578	15.611	15.765	B1 V
082.934212	-67.633720	12.680	12.593	O4 If+
082.943252	-67.224693	15.337	15.412	B2 III Binary (SB1)
082.945999	-67.298500	15.023	14.917	B2.5e
082.947914	-67.384247	 8.362	 8.459	M0 I
082.956627	-71.060585	12.853	12.756	O4 If
082.957878	-70.964775	14.658	14.723	B0.5 V
082.964958	-67.039528	12.454	12.439	B1 Ia
082.966293	-67.661499	12.902	12.811	O4 Inf+
082.967163	-67.572441	12.519	12.463	O8 Iaf
082.967834	-68.544136	10.140	10.041	BN?2 Ia+
082.970749	-67.204277	12.152	12.181	A1 Iab
082.972504	-66.520645	13.118	13.033	O9.7 Ib
082.997086	-71.161781	15.311	15.279	B1 III
082.999664	-67.548691	14.430	14.458	O9 III
083.003166	-67.339615	11.964	11.980	B8 Ia
083.019707	-67.317696	15.979	15.987	B2 III
083.020042	-67.559311	14.155	14.104	B0 II
083.023918	-67.266136	15.942	15.915	B2.5 III
083.026169	-67.330330	15.424	15.394	B2 III
083.030502	-67.487221	12.003	12.011	B2.5 Ia
083.031212	-68.442116	12.698	12.406	WN7h
083.037086	-71.032806	15.436	15.203	O9 V
083.037125	-67.188499	 8.423	 8.616	M1 I
083.041252	-66.435669	15.660	15.533	B0.5 V emission
083.044792	-67.673607	12.418	12.341	B0 Ia
083.047836	-67.687698	12.296	12.246	O8 V
083.054169	-66.417496	14.405	14.324	B0.2 V
083.075417	-66.479774	14.518	14.499	B0 V
083.078331	-66.403336	10.828	10.583	B8 Ia emission
083.082626	-67.686584	12.302	12.280	O7 Ib(f)
083.082916	-66.467476	13.697	13.715	O9 III
083.084999	-66.399498	14.414	14.429	B0.5 III
083.107414	-68.921028	13.710	13.724	B1 III
083.119164	-67.375671	14.311	14.314	B0 II
083.120499	-67.531975	11.637	11.535	B2 Iab
083.135956	-65.861252	13.548	13.550	B0.5 II
083.138336	-66.436752	12.383	12.357	B3 Ia-b
083.147667	-69.131088	 7.965	 8.043	M1-2 I
083.173332	-68.904839	13.950	13.911	O9 V
083.202545	-66.421997	13.683	13.645	O9.5 III
083.216377	-67.565277	14.101	14.096	B0 II
083.249710	-68.598450	 7.355	 7.457	M0 Ia
083.294044	-67.711967	12.609	12.357	WN4b + O8: SB?
083.295288	-69.483604	14.213	13.882	WN4(h)a
083.310539	-67.063477	 8.071	 8.273	M1 I
083.337128	-67.508858	 7.338	 7.422	M1 Ia
083.373627	-67.527229	 8.656	 8.797	K5 I
083.391708	-67.505470	13.887	13.863	O8 V
083.424461	-66.473610	14.605	14.578	B2 III
083.435837	-67.404694	 8.160	 8.177	M2 I
083.449669	-66.473862	14.543	14.566	B0 III
083.452293	-66.575218	12.436	12.373	B1.5 Ia
083.467751	-69.187004	 7.436	 7.378	M3-4 I
083.488876	-67.405609	14.603	14.607	O6 V((f))
083.525833	-69.419273	13.568	13.542	O6.5 f
083.527206	-66.887276	12.411	12.357	B1.5 Ia
083.549377	-66.233719	12.930	12.860	O7 Ib(f)
083.576920	-67.303810	      	10.943	B3 Ia
083.577957	-66.145081	12.858	12.718	O7 Ib(f)
083.580170	-69.752861	12.439	12.003	WC4
083.589539	-69.366608	 8.768	 8.728	K2-5 I
083.599045	-69.737221	14.658	14.668	B0 III
083.618622	-69.732391	14.403	14.380	O4 V((f+))
083.628540	-69.781059	12.249	12.181	B0.5 I
083.641251	-69.250641	 8.014	 8.219	M1-2 I
083.650330	-69.760139	11.829	11.827	B0 I + WN
083.656128	-66.243889	14.412	13.994	WN3(h)
083.665039	-69.746635	12.826	12.779	B0 I
083.670997	-69.748382	14.437	14.426	B0.5 III
083.672081	-69.527504	13.888	13.813	O3 If* + O6:V
083.679123	-69.745163	14.394	14.327	O6 V((f))
083.680206	-69.710861	13.160	13.063	B0 I
083.682831	-68.608002	14.333	14.347	B0.5 III
083.687210	-69.725807	14.361	14.426	O9.5 III
083.696121	-69.483360	 8.841	 9.045	M0 I
083.708794	-69.775642	14.189	14.173	O3.5 V((f+))
083.709045	-67.353470	10.558	10.533	B8 Ia
083.713455	-66.929108	15.545	15.583	B0.5 V
083.715668	-69.379082	13.460	13.469	B2 III
083.717100	-67.357900	14.109	13.722	WN4ha:
083.727043	-67.496330	14.681	14.603	O9 V
083.729622	-67.043747	12.293	12.266	B0.5 Ia
083.731087	-67.351914	10.080	10.016	B9 Ia
083.740501	-69.731720	12.087	12.070	B1.5 I
083.742668	-69.752388	14.672	14.607	B0 III
083.747414	-69.735077	13.589	13.178	WN4o +O9: SB EB
083.764999	-69.750557	10.942	10.852	B1 I
083.774582	-67.004448	13.508	13.341	B0 Ve XRB
083.788292	-67.699638	14.446	14.495	B0 III
083.790291	-70.848144	14.425	14.466	B0.2 III
083.802376	-68.853889	14.305	14.282	B0.5 III
083.807915	-67.557640	12.847	12.795	O2 III(f*)
083.813400	-69.095100	13.470	13.053	WN4o
083.852539	-69.067558	 7.795	 7.779	M1 I
083.854668	-68.904198	12.785	12.711	B0.5 I
083.863167	-69.231224	11.972	11.954	B0.7 Ia
083.869919	-68.639305	13.790	13.803	B0.5 V
083.874168	-67.113724	14.749	14.373	WN3(h)
083.882294	-68.997551	15.063	15.048	B1 V
083.884003	-66.043808	13.568	13.568	O7 III
083.886833	-69.071831	 7.942	 8.094	K7 I
083.888748	-68.990303	16.347	16.357	B2 V
083.889916	-68.976280	14.719	14.633	B0 V
083.894081	-68.980499	16.753	16.764	B3 V
083.905586	-68.982361	14.123	14.225	B0 III
083.905876	-68.861946	13.414	13.360	B1.5: I
083.909126	-69.000557	15.545	15.438	B0.5 V
083.910294	-68.946945	12.328	12.310	B1 I
083.915497	-68.988914	16.271	16.065	B2 V
083.915749	-69.222168	14.969	15.035	O7:
083.917580	-68.976250	14.181	14.419	B0.5 V
083.917664	-69.207054	13.460	13.444	O5.5 V
083.919167	-69.214386	14.869	14.742	O8V
083.919372	-68.975387	14.350	14.164	B1 V
083.920959	-69.000832	16.230	16.328	B1 V
083.921753	-66.043419	12.614	12.548	B0.5 Ia
083.922584	-68.991081	15.501	15.615	B1 V
083.923462	-69.221581	12.694	12.682	B2:
083.924622	-69.225861	14.977	15.023	O3-6
083.924873	-68.994552	15.591	15.563	B1 V
083.925800	-69.209400	12.315	12.030	WN5ha
083.925873	-69.211273	15.051	14.668	O9 V
083.925900	-69.198000	11.171	10.678	WC4
083.927002	-69.177887	11.388	11.404	O6 If
083.929542	-69.219917	15.533	15.523	O8 V
083.930122	-68.982254	16.345	16.280	B2 V 2" pair
083.931206	-69.182777	12.043	11.639	WC4 (+OB)
083.931664	-66.997360	13.218	13.181	B0.5 V0
083.934700	-68.993400	13.288	12.938	WN4 +O8: SB EB
083.935837	-68.995415	16.408	      	B2 V
083.938000	-68.978900	14.647	14.279	WN4h +O3: SB?
083.939789	-69.188141	15.696	15.690	B0.5 V
083.941544	-69.190445	15.076	15.080	O6 V
083.943665	-69.212357	15.275	15.466	B0 V
083.944168	-68.993248	15.625	15.698	B0.5 V
083.944336	-68.968086	13.451	13.447	B2 I
083.946960	-68.997520	17.003	16.479	B4
083.947456	-68.972832	15.331	15.319	B0.5 V
083.948914	-68.987968	15.611	15.594	O9 III
083.953125	-68.983025	13.659	13.640	B0.5: III
083.953125	-68.895744	12.765	12.696	B0.5 I
083.954956	-68.987884	14.076	14.063	B0 III
083.955330	-68.983994	14.074	14.083	B0 III
083.955833	-67.061111	12.345	12.389	B1.5 Ia
083.961400	-68.894100	14.350	14.112	WN4ha
083.961418	-68.976364	15.135	15.147	O9 V
083.962082	-68.984749	14.701	14.681	B0.5 V
083.963127	-68.982529	13.700	13.357	B0: III:
083.964836	-68.974304	14.802	14.826	B0 III
083.966705	-69.374588	 8.288	 8.475	M0 I
083.969000	-68.918900	15.076	14.713	WN3(h)a
083.969627	-68.997551	16.048	16.039	B1 V
083.975128	-67.046913	13.460	13.073	WN4o
083.976800	-68.985300	11.700	11.374	WN9ha
083.977417	-69.197220	15.300	15.225	B1 V
083.977707	-68.989830	17.662	      	B2 V
083.980003	-68.982307	14.196	14.243	B0 III
083.981209	-69.199944	13.470	13.460	O5 III
083.986504	-67.459610	11.782	11.782	B2.5 Ia
083.990334	-68.971970	13.312	13.004	B1 + comp
083.996628	-67.067612	11.318	11.283	B7 Ia
083.999420	-68.989136	16.967	17.186	B2 V
083.999500	-69.189300	11.205	10.888	WN7ha +OB
084.000748	-68.974976	14.209	14.219	B1 V
084.003166	-68.977081	13.312	13.300	B0 I
084.004913	-68.968330	16.450	16.361	B1 III
084.009376	-69.196335	13.723	13.722	B0 III
084.009544	-68.964302	15.748	15.864	B2 V
084.009834	-69.199669	15.241	15.403	B0.5 V
084.010208	-68.992554	14.226	14.219	B0.2 V
